,Year,Month,Day,CPI
0,1913,01,01,9.8
1,1913,01,02,9.8
2,1913,01,03,9.8
3,1913,01,04,9.8
4,1913,01,05,9.7
5,1913,01,06,9.8
6,1913,01,07,9.9
7,1913,01,08,9.9
8,1913,01,09,10.0
9,1913,01,10,10.0
10,1913,01,11,10.1
11,1913,01,12,10.0
12,1914,01,01,10.0
13,1914,01,02,9.9
14,1914,01,03,9.9
15,1914,01,04,9.8
16,1914,01,05,9.9
17,1914,01,06,9.9
18,1914,01,07,10.0
19,1914,01,08,10.2
20,1914,01,09,10.2
21,1914,01,10,10.1
22,1914,01,11,10.2
23,1914,01,12,10.1
24,1915,01,01,10.1
25,1915,01,02,10.0
26,1915,01,03,9.9
27,1915,01,04,10.0
28,1915,01,05,10.1
29,1915,01,06,10.1
30,1915,01,07,10.1
31,1915,01,08,10.1
32,1915,01,09,10.1
33,1915,01,10,10.2
34,1915,01,11,10.3
35,1915,01,12,10.3
36,1916,01,01,10.4
37,1916,01,02,10.4
38,1916,01,03,10.5
39,1916,01,04,10.6
40,1916,01,05,10.7
41,1916,01,06,10.8
42,1916,01,07,10.8
43,1916,01,08,10.9
44,1916,01,09,11.1
45,1916,01,10,11.3
46,1916,01,11,11.5
47,1916,01,12,11.6
48,1917,01,01,11.7
49,1917,01,02,12.0
50,1917,01,03,12.0
51,1917,01,04,12.6
52,1917,01,05,12.8
53,1917,01,06,13.0
54,1917,01,07,12.8
55,1917,01,08,13.0
56,1917,01,09,13.3
57,1917,01,10,13.5
58,1917,01,11,13.5
59,1917,01,12,13.7
60,1918,01,01,14.0
61,1918,01,02,14.1
62,1918,01,03,14.0
63,1918,01,04,14.2
64,1918,01,05,14.5
65,1918,01,06,14.7
66,1918,01,07,15.1
67,1918,01,08,15.4
68,1918,01,09,15.7
69,1918,01,10,16.0
70,1918,01,11,16.3
71,1918,01,12,16.5
72,1919,01,01,16.5
73,1919,01,02,16.2
74,1919,01,03,16.4
75,1919,01,04,16.7
76,1919,01,05,16.9
77,1919,01,06,16.9
78,1919,01,07,17.4
79,1919,01,08,17.7
80,1919,01,09,17.8
81,1919,01,10,18.1
82,1919,01,11,18.5
83,1919,01,12,18.9
84,1920,01,01,19.3
85,1920,01,02,19.5
86,1920,01,03,19.7
87,1920,01,04,20.3
88,1920,01,05,20.6
89,1920,01,06,20.9
90,1920,01,07,20.8
91,1920,01,08,20.3
92,1920,01,09,20.0
93,1920,01,10,19.9
94,1920,01,11,19.8
95,1920,01,12,19.4
96,1921,01,01,19.0
97,1921,01,02,18.4
98,1921,01,03,18.3
99,1921,01,04,18.1
100,1921,01,05,17.7
101,1921,01,06,17.6
102,1921,01,07,17.7
103,1921,01,08,17.7
104,1921,01,09,17.5
105,1921,01,10,17.5
106,1921,01,11,17.4
107,1921,01,12,17.3
108,1922,01,01,16.9
109,1922,01,02,16.9
110,1922,01,03,16.7
111,1922,01,04,16.7
112,1922,01,05,16.7
113,1922,01,06,16.7
114,1922,01,07,16.8
115,1922,01,08,16.6
116,1922,01,09,16.6
117,1922,01,10,16.7
118,1922,01,11,16.8
119,1922,01,12,16.9
120,1923,01,01,16.8
121,1923,01,02,16.8
122,1923,01,03,16.8
123,1923,01,04,16.9
124,1923,01,05,16.9
125,1923,01,06,17.0
126,1923,01,07,17.2
127,1923,01,08,17.1
128,1923,01,09,17.2
129,1923,01,10,17.3
130,1923,01,11,17.3
131,1923,01,12,17.3
132,1924,01,01,17.3
133,1924,01,02,17.2
134,1924,01,03,17.1
135,1924,01,04,17.0
136,1924,01,05,17.0
137,1924,01,06,17.0
138,1924,01,07,17.1
139,1924,01,08,17.0
140,1924,01,09,17.1
141,1924,01,10,17.2
142,1924,01,11,17.2
143,1924,01,12,17.3
144,1925,01,01,17.3
145,1925,01,02,17.2
146,1925,01,03,17.3
147,1925,01,04,17.2
148,1925,01,05,17.3
149,1925,01,06,17.5
150,1925,01,07,17.7
151,1925,01,08,17.7
152,1925,01,09,17.7
153,1925,01,10,17.7
154,1925,01,11,18.0
155,1925,01,12,17.9
156,1926,01,01,17.9
157,1926,01,02,17.9
158,1926,01,03,17.8
159,1926,01,04,17.9
160,1926,01,05,17.8
161,1926,01,06,17.7
162,1926,01,07,17.5
163,1926,01,08,17.4
164,1926,01,09,17.5
165,1926,01,10,17.6
166,1926,01,11,17.7
167,1926,01,12,17.7
168,1927,01,01,17.5
169,1927,01,02,17.4
170,1927,01,03,17.3
171,1927,01,04,17.3
172,1927,01,05,17.4
173,1927,01,06,17.6
174,1927,01,07,17.3
175,1927,01,08,17.2
176,1927,01,09,17.3
177,1927,01,10,17.4
178,1927,01,11,17.3
