,California,Virginia,Florida,New York,New Jersey,Texas,Utah,Washington,Illinois,Colorado,Arkansas,Arizona,Nevada,Michigan,New Hampshire,Rhode Island,Pennsylvania,Tennessee,Massachusetts,the District of Columbia,Minnesota,North Carolina,Oregon,Georgia,Hawaii,West Virginia,Maryland,Maine,Idaho,Alaska,Montana,South Carolina,North Dakota,Wisconsin,Vermont,Missouri,Kansas,Connecticut,Delaware,Wyoming,Mississippi,Louisiana,Alabama,Indiana,Nebraska,Oklahoma,New Mexico,South Dakota,Kentucky,Ohio,Iowa
2000-01-01,186612.39013768837,120694.37327402316,105138.70101268787,150398.80704406393,166156.34797777733,109744.52629544212,165100.486224166,170593.89574629997,123142.82490023701,171288.24304565362,83669.82096860535,132882.87737230805,151208.44076377738,112334.41450247528,128945.22071189713,127386.85835840474,95957.83613070185,106976.21368056338,188892.41882064388,159136.0660377569,120716.75951575256,125380.95626750628,148082.4727998631,121033.31791842508,192833.9271595915,70132.42726154474,148742.8948598692,103040.19582861576,118868.18397080924,131740.63030242914,,109967.472740137,,115311.29460449248,111188.26423261351,93919.40129729235,86309.24034811369,157484.89857600286,142740.33999991472,,83047.45860022515,100049.89176587273,96172.77168770212,96033.74093744492,112043.15723163327,79207.96473974336,,105358.63878928348,81056.10738166234,101855.64135713057,87875.93628401247
2000-02-01,187239.65008122893,121006.68591231626,105366.44122611932,150934.37453543866,166604.2471870216,109804.16430583443,165190.9420129981,170978.69403215777,123241.51241773859,171896.4398549432,83781.64169600132,133123.56732881028,151227.34228580113,112396.28561608687,129383.26782553767,127966.20289047962,96163.08267514192,107065.45416946235,189523.06777187446,159656.56569813384,121123.09656560907,125571.70718500137,148408.12189212354,121308.16365353193,192744.71034692135,70129.42521714457,148722.2645902891,103383.0124501538,118796.12425167675,131890.2598265119,,110210.23662455835,,115277.82780220493,111374.44609428853,94029.4820719563,86326.18301503456,158084.8750916061,142962.41121005488,,83001.91276032664,100242.87896882839,96340.243098067,95901.69675992019,112222.26284972113,79240.63822620959,,105134.78648914633,81097.95625197433,101917.88439357177,88043.86307248936
2000-03-01,188086.6046031144,121337.8106213778,105642.50776070195,151449.94461439725,167031.62194019268,109833.0896751843,165332.95739346443,171371.22254304096,123454.82991475839,172568.56024956217,83908.51172826506,133433.33972378346,151461.37204148978,112622.80002362533,129906.19051307376,128574.60994839243,96355.959293985,107156.46968785136,190273.44050736065,160395.10104367332,121501.14627610543,125768.1768000032,148705.6251774603,121625.2897310967,193040.67152902248,70152.09417853862,148827.65358948315,103689.10391527676,118841.78047660524,132039.81109487332,,110408.05234999082,,115406.82996878428,111666.83824451729,94194.29086049098,86425.9996505423,158711.35029884477,143238.90985564011,,82999.93133516598,100392.84624625168,96452.45220131309,95753.38995359618,112388.26081695523,79392.93981455397,,104821.52175807163,81174.09855880008,102012.2792578379,88202.39299989783
2000-04-01,189925.09033318923,121963.52619534398,106203.68001977711,152558.7956978251,167978.48435248123,109976.64884826133,165689.27644161822,172163.445428081,123956.6565120558,174071.39728904702,84179.39974897659,134065.877101121,151997.6926971059,113074.01583261006,130691.16995400174,129776.72301525624,96749.01253529331,107375.44583437308,191751.35838675444,161978.67279366546,122388.57157706363,126194.35409725721,149329.9161285459,122292.97932510899,193554.06676545678,70209.47066390811,149081.96036264402,104363.44103698591,118936.57302886697,132215.19977803194,,110861.51586860007,,115592.08941206931,112241.37157620642,94571.00675983331,86575.21857351375,159772.72267413183,143871.25599395818,,83059.8041620617,100730.9390456222,96703.83419021995,95302.55329255534,112645.9400322754,79670.27302230512,,104399.27449864514,81363.31915679222,102289.85191109637,88544.81330565356
2000-05-01,192062.05304290316,122567.58604370081,106808.84382846819,153706.06018999874,168943.7361339125,110069.62002006006,166980.59414368687,173028.1068952743,124552.0894564122,175748.82397456883,84446.57940322456,134782.8671645657,152681.10857376913,113739.4274628575,131550.37495546098,130974.57455075155,97152.7766299583,107628.04216716437,193351.13170712662,163736.14438763625,123362.09534968359,126669.1392881522,149886.65084504764,123029.41435272315,194559.7645857459,70321.40930064222,149614.13187276752,104998.67010298576,119245.67445913942,132479.23369855236,,111284.89474719424,,115961.6966422776,112903.00380499584,95057.61451934178,86800.15273997349,160644.8893878916,144592.47490953977,,83351.15627342208,101089.14493089954,96984.20995238733,95084.7187898464,112776.61160625757,80042.77464923529,,104223.60730011221,81614.79858221051,102713.08118274668,88923.13487003704
2000-06-01,194367.82959894967,123150.91266819842,107426.305889617,154946.57037941032,170095.75436551412,110173.86333656024,168404.19600601774,173853.54007509036,125221.28012265927,177560.1775847254,84703.09318419095,135426.2943653102,153294.64735368872,114470.24946874421,132458.04131519308,131887.24661613972,97567.73688716376,107878.73280526711,195084.45648576823,165623.9080322805,124487.67326879902,127174.19433801092,150403.41383084605,123809.78760658111,195695.54403518292,70507.36491357982,150257.5580587895,105711.80742547952,119623.4486085454,132676.61493088337,,111751.25409379532,,116395.49578386145,113520.77691197609,95595.34687401664,87053.87298039744,161508.74985997833,145388.1642268618,,83768.00032414008,101479.34682446763,97323.1954829954,95149.0625020389,112853.93944661236,80395.91417689646,,104103.23846753658,81891.2486747034,103238.22058484356,89304.99271200859
2000-07-01,196802.89433551588,123859.00927791052,108046.70423409915,156061.78463578725,171399.36920863448,110242.36732434877,169831.32839811672,174750.2877566022,125947.11007942345,179395.54513733837,84951.03167531906,136080.59664073234,153770.17025914785,115322.85086148571,133717.69287110193,132721.36658492012,98008.39908742109,108149.90683552985,197135.62412807447,167416.09963748313,125725.7804356286,127667.38841003463,150833.67987332505,124598.33390366384,196831.3720182985,70751.7296195647,151019.06473757626,106478.68805961993,119997.03578897951,133088.48670604694,,112203.81215656183,,116969.96653905162,114136.14161050472,96179.9621505624,87383.90676804028,162474.24417713317,146197.74511032374,,84152.96746275593,101860.81425173448,97637.08314371278,95616.64572070958,112943.50306292663,80761.59224069573,,104019.29874110881,82202.93873657387,103757.34953840195,89692.7840045558
2000-08-01,199345.23050549626,124694.02323600912,108678.54813726665,157037.9652481327,172983.44660110306,110445.02903843515,170419.16418688372,175578.88656598693,126980.24215334568,181387.91990893564,85233.09957492164,136709.10762932742,154228.31168983094,116183.48646228551,135193.39754541815,133557.18031911587,98429.0588711073,108429.78877716674,199659.80013518568,168957.70077534692,127421.45378115156,128132.47751412036,151293.2447988788,125431.8769679716,198145.649471321,71071.3768882469,151725.74355810025,107276.49673368527,120374.34631807101,133282.20567363515,,112702.0063934861,,117604.89027534757,114772.34758697655,96810.36276424942,87742.29401550733,163642.29178431592,146985.52983050756,,84519.6203088505,102162.43907964171,97920.74350087157,96093.24310975091,113157.84664087556,81102.00236375282,,103865.06993594354,82559.50330324676,104261.9078638323,90024.40237506169
2000-09-01,201893.4664902195,125606.54447682778,109333.45883632371,157905.39546671984,174735.11408559562,110710.78995104384,170933.14545825042,176333.111378663,128195.22370848763,183479.44236429225,85552.13164240672,137404.23667746384,154779.70206118407,117006.07746612688,136778.79442897704,134587.00025842836,98857.67176766614,108764.18109965224,202496.18071263251,170115.67784933848,129174.43347705365,128586.42376348627,151679.67959770953,126283.80499839985,199444.76349442542,71357.5982460687,152447.9827171294,108106.74333503137,120690.20855579774,133458.92080906834,,113216.32429749447,,118240.90434518973,115475.69447756937,97445.09212187825,88077.9943906358,164872.13581041057,147712.73020436184,,84846.24107972409,102505.95928431411,98225.02040681943,96465.66702327687,113419.66813900352,81411.44115494234,,104079.93288421132,82955.25885759522,104757.6704650868,90370.3178442038
2000-10-01,204310.02099305418,126469.93768184098,110002.02045768745,158835.16654072262,176506.37158769823,110995.55787746783,171367.2852366677,176989.86311918197,129597.53385690693,185556.84604026435,85872.63268815831,138074.00661892237,155399.6064339164,117774.34354591771,138602.92380211237,135619.21782833783,99268.72727575958,109088.03347040794,205492.39885859055,170410.69919501353,130968.45070596841,129066.3447368646,152067.85157494838,127169.24302561465,200804.72501204335,71687.71517193066,153210.15694589788,108891.67852478703,120995.20397746575,133402.26508202453,,113722.5621144143,,118863.65515946156,116322.10787654783,98119.8454749169,88421.20489983482,166218.00713392618,148362.12117746435,,85299.41199879932,102912.75843237022,98574.16356805155,96921.60976692561,113694.58794613664,81687.9854152204,,104320.75897725963,83324.98309975403,105236.58473808462,90796.64950411995
