States,Dimension1,Dimension2
California,35.30586808103097,4.477828700635905
Virginia,5.221705194307593,-0.32981439611207836
Florida,-3.112672322020928,2.490829417424251
New York,13.19205142719498,-0.679636823980359
New Jersey,19.874966079102997,3.4295209198471652
Texas,-8.767210078180193,-1.7731129715362535
Utah,5.584738679936409,-1.5369889469287852
Washington,14.605796967765539,-0.13453815158694693
Illinois,-5.110295822899733,2.9932619731025274
Colorado,11.548527891379818,-0.585703802520954
Arkansas,-14.823527749455218,-1.20648304624578
Arizona,0.7806104750964517,2.845246137316145
Nevada,4.310247386716595,7.540226089205133
Michigan,-12.839609493139257,2.596610860154314
New Hampshire,5.740620370935251,2.3393229825035906
Rhode Island,8.32986624725076,3.524840106655274
Pennsylvania,-7.923412763035567,-1.1810024590836958
Tennessee,-9.772835436265671,-1.0596162400339941
Massachusetts,25.234532388604308,4.160549857599034
the District of Columbia,37.56930985162677,-6.835484325974565
Minnesota,-1.120874127172861,2.0649964155069367
North Carolina,-6.670477021599778,-0.09025543854989841
Oregon,8.845324726509293,-1.6976658654744363
Georgia,-8.103428563977545,1.703012897538444
Hawaii,45.97699501672473,-6.783992499314083
West Virginia,-18.354952259067606,-1.285707214094189
Maryland,13.42724999486079,1.8256631473554228
Maine,-2.1948083916397647,0.17224634856793652
Idaho,-3.0950701390917006,-1.3881477511654001
Alaska,8.180510351414975,-3.0421654245691307
South Carolina,-8.819525018795417,-0.34135258457086626
Wisconsin,-6.560955788060551,0.5960025436322047
Vermont,1.8509157741361963,-2.7331869881198743
Missouri,-12.012431090241407,0.06761720012749883
Kansas,-14.453674481650323,-1.2577294831861114
Connecticut,9.685392226655985,4.210571954617671
Delaware,6.31460736626699,1.0354107090259999
Wyoming,0.44187036403884344,-2.806598054686132
Mississippi,-15.779807956836203,-1.053150474234533
Louisiana,-9.140704638090153,-1.6552324582553921
Alabama,-12.935245795412568,-0.7705076408239648
Indiana,-14.353505217711234,-0.7800942691377025
Nebraska,-11.680562282511616,-0.9363690045240721
Oklahoma,-16.240582737138624,-1.4890000886694408
New Mexico,-5.476576214683887,-0.41214182071015315
South Dakota,-8.359022007375986,-2.6199984600263724
Kentucky,-16.677143658044102,-0.9538642841910382
Ohio,-13.84060515215537,0.698386846373154
Iowa,-13.802190655302931,-1.3526041388824064
